=== environment-table19.xlsx ===
Cell A1 | value='Table 3 Scientific procedures by species of animal, primary purpose and genetic status' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell E114 | value='-' | fill=00000000 | rows=[113] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F114 | value='2433' | fill=00000000 | rows=[113] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B115 | value='Applied studies' | fill=47 | rows=[114] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C115 | value='1019' | fill=47 | rows=[114] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D115 | value='-' | fill=47 | rows=[114] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E115 | value='-' | fill=47 | rows=[114] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F115 | value='1019' | fill=47 | rows=[114] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B116 | value='Safety' | fill=00000000 | rows=[115] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C116 | value='121' | fill=00000000 | rows=[115] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D116 | value='-' | fill=00000000 | rows=[115] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E116 | value='-' | fill=00000000 | rows=[115] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F116 | value='121' | fill=00000000 | rows=[115] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B117 | value='Other  uses' | fill=47 | rows=[116] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C117 | value='12' | fill=47 | rows=[116] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D117 | value='-' | fill=47 | rows=[116] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E117 | value='-' | fill=47 | rows=[116] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F117 | value='12' | fill=47 | rows=[116] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B118 | value='Breeding of GM or HM' | fill=00000000 | rows=[117] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C118 | value='-' | fill=00000000 | rows=[117] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D118 | value='-' | fill=00000000 | rows=[117] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E118 | value='-' | fill=00000000 | rows=[117] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F118 | value='0' | fill=00000000 | rows=[117] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B119 | value='Total' | fill=43 | rows=[118] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C119 | value='3585' | fill=43 | rows=[118] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D119 | value='0' | fill=43 | rows=[118] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E119 | value='0' | fill=43 | rows=[118] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F119 | value='3585' | fill=43 | rows=[118] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A120 | value='Deer' | fill=43 | rows=[119] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B120 | value='Fundamental biological research' | fill=00000000 | rows=[119] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C120 | value='59' | fill=00000000 | rows=[119] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D120 | value='-' | fill=00000000 | rows=[119] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E120 | value='-' | fill=00000000 | rows=[119] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F120 | value='59' | fill=00000000 | rows=[119] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B121 | value='Applied studies' | fill=47 | rows=[120] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C121 | value='-' | fill=47 | rows=[120] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D121 | value='-' | fill=47 | rows=[120] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E121 | value='-' | fill=47 | rows=[120] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F121 | value='0' | fill=47 | rows=[120] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B122 | value='Safety' | fill=00000000 | rows=[121] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C122 | value='3' | fill=00000000 | rows=[121] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D122 | value='-' | fill=00000000 | rows=[121] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E122 | value='-' | fill=00000000 | rows=[121] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F122 | value='3' | fill=00000000 | rows=[121] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B123 | value='Other  uses' | fill=47 | rows=[122] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C123 | value='-' | fill=47 | rows=[122] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D123 | value='-' | fill=47 | rows=[122] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E123 | value='-' | fill=47 | rows=[122] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F123 | value='0' | fill=47 | rows=[122] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B124 | value='Breeding of GM or HM' | fill=00000000 | rows=[123] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C124 | value='-' | fill=00000000 | rows=[123] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D124 | value='-' | fill=00000000 | rows=[123] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E124 | value='-' | fill=00000000 | rows=[123] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F124 | value='0' | fill=00000000 | rows=[123] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B125 | value='Total' | fill=43 | rows=[124] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C125 | value='62' | fill=43 | rows=[124] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D125 | value='0' | fill=43 | rows=[124] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E125 | value='0' | fill=43 | rows=[124] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F125 | value='62' | fill=43 | rows=[124] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A126 | value='Other ungulate' | fill=43 | rows=[125] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B126 | value='Fundamental biological research' | fill=00000000 | rows=[125] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C126 | value='-' | fill=00000000 | rows=[125] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D126 | value='-' | fill=00000000 | rows=[125] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E126 | value='-' | fill=00000000 | rows=[125] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F126 | value='0' | fill=00000000 | rows=[125] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B127 | value='Applied studies' | fill=47 | rows=[126] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C127 | value='-' | fill=47 | rows=[126] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D127 | value='-' | fill=47 | rows=[126] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E127 | value='-' | fill=47 | rows=[126] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F127 | value='0' | fill=47 | rows=[126] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B128 | value='Safety' | fill=00000000 | rows=[127] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C128 | value='11' | fill=00000000 | rows=[127] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D128 | value='-' | fill=00000000 | rows=[127] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E128 | value='-' | fill=00000000 | rows=[127] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F128 | value='11' | fill=00000000 | rows=[127] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B129 | value='Other  uses' | fill=47 | rows=[128] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C129 | value='-' | fill=47 | rows=[128] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D129 | value='-' | fill=47 | rows=[128] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E129 | value='-' | fill=47 | rows=[128] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F129 | value='0' | fill=47 | rows=[128] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B130 | value='Breeding of GM or HM' | fill=00000000 | rows=[129] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C130 | value='-' | fill=00000000 | rows=[129] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D130 | value='-' | fill=00000000 | rows=[129] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E130 | value='-' | fill=00000000 | rows=[129] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F130 | value='0' | fill=00000000 | rows=[129] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B131 | value='Total' | fill=43 | rows=[130] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C131 | value='11' | fill=43 | rows=[130] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D131 | value='0' | fill=43 | rows=[130] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E131 | value='0' | fill=43 | rows=[130] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F131 | value='11' | fill=43 | rows=[130] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A132 | value='Prosimian' | fill=43 | rows=[131] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B132 | value='Fundamental biological research' | fill=00000000 | rows=[131] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B133 | value='Applied studies' | fill=00000000 | rows=[132] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B134 | value='Safety' | fill=00000000 | rows=[133] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B135 | value='Other  uses' | fill=00000000 | rows=[134] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B136 | value='Breeding' | fill=00000000 | rows=[135] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B137 | value='Total' | fill=00000000 | rows=[136] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A138 | value='Marmoset, Tamarin' | fill=43 | rows=[137] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B138 | value='Fundamental biological research' | fill=00000000 | rows=[137] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C138 | value='289' | fill=00000000 | rows=[137] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D138 | value='-' | fill=00000000 | rows=[137] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E138 | value='-' | fill=00000000 | rows=[137] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F138 | value='289' | fill=00000000 | rows=[137] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B139 | value='Applied studies' | fill=47 | rows=[138] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C139 | value='814' | fill=47 | rows=[138] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D139 | value='-' | fill=47 | rows=[138] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E139 | value='-' | fill=47 | rows=[138] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F139 | value='814' | fill=47 | rows=[138] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B140 | value='Safety' | fill=00000000 | rows=[139] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C140 | value='-' | fill=00000000 | rows=[139] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D140 | value='-' | fill=00000000 | rows=[139] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E140 | value='-' | fill=00000000 | rows=[139] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F140 | value='0' | fill=00000000 | rows=[139] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B141 | value='Other  uses' | fill=47 | rows=[140] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C141 | value='-' | fill=47 | rows=[140] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D141 | value='-' | fill=47 | rows=[140] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E141 | value='-' | fill=47 | rows=[140] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F141 | value='0' | fill=47 | rows=[140] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B142 | value='Breeding of GM or HM' | fill=00000000 | rows=[141] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C142 | value='-' | fill=00000000 | rows=[141] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D142 | value='-' | fill=00000000 | rows=[141] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E142 | value='-' | fill=00000000 | rows=[141] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F142 | value='0' | fill=00000000 | rows=[141] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B143 | value='Total' | fill=43 | rows=[142] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C143 | value='1103' | fill=43 | rows=[142] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D143 | value='0' | fill=43 | rows=[142] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E143 | value='0' | fill=43 | rows=[142] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F143 | value='1103' | fill=43 | rows=[142] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A144 | value='Squirrel, Owl or Spider monkey' | fill=00000000 | rows=[143] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B144 | value='Fundamental biological research' | fill=00000000 | rows=[143] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B145 | value='Applied studies' | fill=00000000 | rows=[144] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B146 | value='Safety' | fill=00000000 | rows=[145] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B147 | value='Other  uses' | fill=00000000 | rows=[146] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B148 | value='Breeding' | fill=00000000 | rows=[147] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B149 | value='Total' | fill=00000000 | rows=[148] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A150 | value='Macaque' | fill=43 | rows=[149] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B150 | value='Fundamental biological research' | fill=00000000 | rows=[149] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C150 | value='270' | fill=00000000 | rows=[149] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D150 | value='-' | fill=00000000 | rows=[149] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E150 | value='-' | fill=00000000 | rows=[149] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F150 | value='270' | fill=00000000 | rows=[149] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B151 | value='Applied studies' | fill=47 | rows=[150] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C151 | value='2898' | fill=47 | rows=[150] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D151 | value='-' | fill=47 | rows=[150] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E151 | value='-' | fill=47 | rows=[150] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F151 | value='2898' | fill=47 | rows=[150] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B152 | value='Safety' | fill=00000000 | rows=[151] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C152 | value='417' | fill=00000000 | rows=[151] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D152 | value='-' | fill=00000000 | rows=[151] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E152 | value='-' | fill=00000000 | rows=[151] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F152 | value='417' | fill=00000000 | rows=[151] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B153 | value='Other  uses' | fill=47 | rows=[152] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C153 | value='-' | fill=47 | rows=[152] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D153 | value='-' | fill=47 | rows=[152] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E153 | value='-' | fill=47 | rows=[152] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F153 | value='0' | fill=47 | rows=[152] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B154 | value='Breeding of GM or HM' | fill=00000000 | rows=[153] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C154 | value='-' | fill=00000000 | rows=[153] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D154 | value='-' | fill=00000000 | rows=[153] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E154 | value='-' | fill=00000000 | rows=[153] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F154 | value='0' | fill=00000000 | rows=[153] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B155 | value='Total' | fill=43 | rows=[154] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C155 | value='3585' | fill=43 | rows=[154] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D155 | value='0' | fill=43 | rows=[154] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E155 | value='0' | fill=43 | rows=[154] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F155 | value='3585' | fill=43 | rows=[154] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A156 | value='Other mammal' | fill=43 | rows=[155] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B156 | value='Fundamental biological research' | fill=00000000 | rows=[155] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C156 | value='812' | fill=00000000 | rows=[155] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D156 | value='-' | fill=00000000 | rows=[155] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E156 | value='-' | fill=00000000 | rows=[155] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F156 | value='812' | fill=00000000 | rows=[155] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B157 | value='Applied studies' | fill=47 | rows=[156] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C157 | value='-' | fill=47 | rows=[156] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D157 | value='-' | fill=47 | rows=[156] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E157 | value='-' | fill=47 | rows=[156] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F157 | value='0' | fill=47 | rows=[156] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B158 | value='Safety' | fill=00000000 | rows=[157] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C158 | value='402' | fill=00000000 | rows=[157] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D158 | value='-' | fill=00000000 | rows=[157] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E158 | value='-' | fill=00000000 | rows=[157] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F158 | value='402' | fill=00000000 | rows=[157] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B159 | value='Other  uses' | fill=47 | rows=[158] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C159 | value='-' | fill=47 | rows=[158] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D159 | value='-' | fill=47 | rows=[158] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E159 | value='-' | fill=47 | rows=[158] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F159 | value='0' | fill=47 | rows=[158] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B160 | value='Breeding of GM or HM' | fill=00000000 | rows=[159] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C160 | value='-' | fill=00000000 | rows=[159] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D160 | value='-' | fill=00000000 | rows=[159] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E160 | value='-' | fill=00000000 | rows=[159] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F160 | value='0' | fill=00000000 | rows=[159] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B161 | value='Total' | fill=43 | rows=[160] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C161 | value='1214' | fill=43 | rows=[160] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D161 | value='0' | fill=43 | rows=[160] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E161 | value='0' | fill=43 | rows=[160] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F161 | value='1214' | fill=43 | rows=[160] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A162 | value='Table 3 Scientific procedures by species of animal, primary purpose and genetic status' | fill=00000000 | rows=[161] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell A164 | value='Great Britain 2010' | fill=00000000 | rows=[163] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell F164 | value='Number of procedures' | fill=00000000 | rows=[163] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A165 | value='Species of animal' | fill=43 | rows=[164] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B165 | value='Primary purpose of procedure' | fill=43 | rows=[164, 165] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C165 | value='Genetic status' | fill=43 | rows=[164] | cols=[2, 3, 4] | col_header=False | row_header=False | metadata=False
Cell F165 | value='Total' | fill=43 | rows=[164] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell C166 | value='Normal animal' | fill=43 | rows=[165] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D166 | value='Animal with harmful genetic defect' | fill=43 | rows=[165] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E166 | value='Genetically modified animal' | fill=43 | rows=[165] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A167 | value='Domestic fowl' | fill=43 | rows=[166, 167, 168, 169, 170, 171] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B167 | value='Fundamental biological research' | fill=00000000 | rows=[166] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C167 | value='5946' | fill=00000000 | rows=[166] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D167 | value='282' | fill=00000000 | rows=[166] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E167 | value='6' | fill=00000000 | rows=[166] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F167 | value='6234' | fill=00000000 | rows=[166] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B168 | value='Applied studies' | fill=47 | rows=[167] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C168 | value='140557' | fill=47 | rows=[167] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D168 | value='0' | fill=47 | rows=[167] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E168 | value='0' | fill=47 | rows=[167] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F168 | value='140557' | fill=47 | rows=[167] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B169 | value='Safety' | fill=00000000 | rows=[168] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C169 | value='274' | fill=00000000 | rows=[168] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D169 | value='0' | fill=00000000 | rows=[168] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E169 | value='0' | fill=00000000 | rows=[168] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F169 | value='274' | fill=00000000 | rows=[168] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B170 | value='Other  uses' | fill=47 | rows=[169] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C170 | value='1377' | fill=47 | rows=[169] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D170 | value='0' | fill=47 | rows=[169] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E170 | value='0' | fill=47 | rows=[169] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F170 | value='1377' | fill=47 | rows=[169] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B171 | value='Breeding of GM or HM' | fill=00000000 | rows=[170] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C171 | value='61' | fill=00000000 | rows=[170] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D171 | value='196' | fill=00000000 | rows=[170] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E171 | value='345' | fill=00000000 | rows=[170] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F171 | value='602' | fill=00000000 | rows=[170] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B172 | value='Total' | fill=43 | rows=[171] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C172 | value='148215' | fill=43 | rows=[171] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D172 | value='478' | fill=43 | rows=[171] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E172 | value='351' | fill=43 | rows=[171] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F172 | value='149044' | fill=43 | rows=[171] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A173 | value='Turkey' | fill=43 | rows=[172] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B173 | value='Fundamental biological research' | fill=00000000 | rows=[172] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C173 | value='448' | fill=00000000 | rows=[172] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D173 | value='-' | fill=00000000 | rows=[172] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E173 | value='-' | fill=00000000 | rows=[172] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F173 | value='448' | fill=00000000 | rows=[172] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B174 | value='Applied studies' | fill=47 | rows=[173] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C174 | value='1887' | fill=47 | rows=[173] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D174 | value='-' | fill=47 | rows=[173] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E174 | value='-' | fill=47 | rows=[173] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F174 | value='1887' | fill=47 | rows=[173] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B175 | value='Safety' | fill=00000000 | rows=[174] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C175 | value='25' | fill=00000000 | rows=[174] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D175 | value='-' | fill=00000000 | rows=[174] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E175 | value='-' | fill=00000000 | rows=[174] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F175 | value='25' | fill=00000000 | rows=[174] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B176 | value='Other  uses' | fill=47 | rows=[175] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C176 | value='186' | fill=47 | rows=[175] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D176 | value='-' | fill=47 | rows=[175] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E176 | value='-' | fill=47 | rows=[175] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F176 | value='186' | fill=47 | rows=[175] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B177 | value='Breeding of GM or HM' | fill=00000000 | rows=[176] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C177 | value='-' | fill=00000000 | rows=[176] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D177 | value='-' | fill=00000000 | rows=[176] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E177 | value='-' | fill=00000000 | rows=[176] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F177 | value='0' | fill=00000000 | rows=[176] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B178 | value='Total' | fill=43 | rows=[177] | cols=[1] | col_header=False | row_header=False | metadata=False
