=== economy-table88.xlsx ===
Cell A1 | value='Direct Loan Portfolio by Deferment Type' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17] | col_header=True | row_header=True | metadata=True
Cell P36 | value='0' | fill=7 | rows=[35] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q36 | value='0.3' | fill=None | rows=[35] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R36 | value='0' | fill=00000000 | rows=[35] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B37 | value='Q2*' | fill=00000000 | rows=[36] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C37 | value='110.6' | fill=7 | rows=[36] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D37 | value='3' | fill=7 | rows=[36] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E37 | value='4.3' | fill=00000000 | rows=[36] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F37 | value='0.12' | fill=00000000 | rows=[36] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G37 | value='0' | fill=7 | rows=[36] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H37 | value='0' | fill=7 | rows=[36] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I37 | value='0' | fill=00000000 | rows=[36] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J37 | value='0' | fill=00000000 | rows=[36] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K37 | value='0' | fill=7 | rows=[36] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L37 | value='0' | fill=7 | rows=[36] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M37 | value='0' | fill=00000000 | rows=[36] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N37 | value='0' | fill=00000000 | rows=[36] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O37 | value='0.1' | fill=7 | rows=[36] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P37 | value='0' | fill=7 | rows=[36] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q37 | value='0' | fill=None | rows=[36] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R37 | value='0' | fill=00000000 | rows=[36] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B38 | value='Q3*' | fill=00000000 | rows=[37] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C38 | value='96.4' | fill=7 | rows=[37] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D38 | value='2.67' | fill=7 | rows=[37] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E38 | value='9.1' | fill=00000000 | rows=[37] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F38 | value='0.19' | fill=00000000 | rows=[37] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G38 | value='0' | fill=7 | rows=[37] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H38 | value='0' | fill=7 | rows=[37] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I38 | value='0' | fill=00000000 | rows=[37] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J38 | value='0' | fill=00000000 | rows=[37] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K38 | value='0' | fill=7 | rows=[37] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L38 | value='0' | fill=7 | rows=[37] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M38 | value='0' | fill=00000000 | rows=[37] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N38 | value='0' | fill=00000000 | rows=[37] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O38 | value='0.1' | fill=7 | rows=[37] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P38 | value='0' | fill=7 | rows=[37] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q38 | value='0' | fill=None | rows=[37] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R38 | value='0' | fill=00000000 | rows=[37] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B39 | value='Q4*' | fill=00000000 | rows=[38] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C39 | value='98.3' | fill=7 | rows=[38] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D39 | value='2.76' | fill=7 | rows=[38] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E39 | value='11.2' | fill=00000000 | rows=[38] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F39 | value='0.22' | fill=00000000 | rows=[38] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G39 | value='0' | fill=7 | rows=[38] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H39 | value='0' | fill=7 | rows=[38] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I39 | value='0' | fill=00000000 | rows=[38] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J39 | value='0' | fill=00000000 | rows=[38] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K39 | value='0' | fill=7 | rows=[38] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L39 | value='0' | fill=7 | rows=[38] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M39 | value='0' | fill=00000000 | rows=[38] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N39 | value='0' | fill=00000000 | rows=[38] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O39 | value='0' | fill=7 | rows=[38] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P39 | value='0' | fill=7 | rows=[38] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q39 | value='0' | fill=None | rows=[38] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R39 | value='0' | fill=00000000 | rows=[38] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A40 | value='2023' | fill=00000000 | rows=[39, 40, 41, 42] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B40 | value='Q1*' | fill=00000000 | rows=[39] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C40 | value='93.1' | fill=7 | rows=[39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D40 | value='2.68' | fill=7 | rows=[39] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E40 | value='4.8' | fill=00000000 | rows=[39] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F40 | value='0.12' | fill=00000000 | rows=[39] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G40 | value='0' | fill=7 | rows=[39] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H40 | value='0' | fill=7 | rows=[39] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I40 | value='0' | fill=00000000 | rows=[39] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J40 | value='0' | fill=00000000 | rows=[39] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K40 | value='0' | fill=7 | rows=[39] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L40 | value='0' | fill=7 | rows=[39] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M40 | value='0' | fill=00000000 | rows=[39] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N40 | value='0' | fill=00000000 | rows=[39] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O40 | value='0' | fill=7 | rows=[39] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P40 | value='0' | fill=7 | rows=[39] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q40 | value='0' | fill=None | rows=[39] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R40 | value='0' | fill=00000000 | rows=[39] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B41 | value='Q2*' | fill=00000000 | rows=[40] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C41 | value='109.5' | fill=7 | rows=[40] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D41 | value='2.95' | fill=7 | rows=[40] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E41 | value='4.3' | fill=00000000 | rows=[40] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F41 | value='0.11' | fill=00000000 | rows=[40] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G41 | value='0' | fill=7 | rows=[40] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H41 | value='0' | fill=7 | rows=[40] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I41 | value='0' | fill=00000000 | rows=[40] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J41 | value='0' | fill=00000000 | rows=[40] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K41 | value='0' | fill=7 | rows=[40] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L41 | value='0' | fill=7 | rows=[40] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M41 | value='0' | fill=00000000 | rows=[40] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N41 | value='0' | fill=00000000 | rows=[40] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O41 | value='0' | fill=7 | rows=[40] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P41 | value='0' | fill=7 | rows=[40] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q41 | value='0' | fill=None | rows=[40] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R41 | value='0' | fill=00000000 | rows=[40] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B42 | value='Q3*' | fill=00000000 | rows=[41] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C42 | value='95.4' | fill=7 | rows=[41] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D42 | value='2.63' | fill=7 | rows=[41] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E42 | value='6.9' | fill=00000000 | rows=[41] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F42 | value='0.14' | fill=00000000 | rows=[41] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G42 | value='0' | fill=7 | rows=[41] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H42 | value='0' | fill=7 | rows=[41] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I42 | value='0' | fill=00000000 | rows=[41] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J42 | value='0' | fill=00000000 | rows=[41] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K42 | value='0' | fill=7 | rows=[41] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L42 | value='0' | fill=7 | rows=[41] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M42 | value='0' | fill=00000000 | rows=[41] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N42 | value='0' | fill=00000000 | rows=[41] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O42 | value='0.1' | fill=7 | rows=[41] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P42 | value='0' | fill=7 | rows=[41] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q42 | value='0' | fill=None | rows=[41] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R42 | value='0' | fill=00000000 | rows=[41] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B43 | value='Q4' | fill=00000000 | rows=[42] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C43 | value='94.8' | fill=7 | rows=[42] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D43 | value='2.67' | fill=7 | rows=[42] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E43 | value='14.6' | fill=00000000 | rows=[42] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F43 | value='0.28' | fill=00000000 | rows=[42] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G43 | value='1.1' | fill=7 | rows=[42] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H43 | value='0.02' | fill=7 | rows=[42] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I43 | value='0.2' | fill=00000000 | rows=[42] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J43 | value='0' | fill=00000000 | rows=[42] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K43 | value='0' | fill=7 | rows=[42] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L43 | value='0' | fill=7 | rows=[42] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M43 | value='0.2' | fill=00000000 | rows=[42] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N43 | value='0' | fill=00000000 | rows=[42] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O43 | value='0.1' | fill=7 | rows=[42] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P43 | value='0' | fill=7 | rows=[42] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q43 | value='0.2' | fill=None | rows=[42] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R43 | value='0.01' | fill=00000000 | rows=[42] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A44 | value='2024' | fill=00000000 | rows=[43, 44, 45] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B44 | value='Q1' | fill=00000000 | rows=[43] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C44 | value='97.7' | fill=7 | rows=[43] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D44 | value='2.77' | fill=7 | rows=[43] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E44 | value='7.2' | fill=00000000 | rows=[43] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F44 | value='0.16' | fill=00000000 | rows=[43] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G44 | value='4.9' | fill=7 | rows=[43] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H44 | value='0.1' | fill=7 | rows=[43] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I44 | value='0.5' | fill=00000000 | rows=[43] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J44 | value='0.01' | fill=00000000 | rows=[43] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K44 | value='0.1' | fill=7 | rows=[43] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L44 | value='0' | fill=7 | rows=[43] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M44 | value='0.3' | fill=00000000 | rows=[43] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N44 | value='0' | fill=00000000 | rows=[43] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O44 | value='0' | fill=7 | rows=[43] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P44 | value='0' | fill=7 | rows=[43] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q44 | value='0' | fill=None | rows=[43] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R44 | value='0' | fill=00000000 | rows=[43] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B45 | value='Q2' | fill=00000000 | rows=[44] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C45 | value='117.8' | fill=7 | rows=[44] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D45 | value='3.05' | fill=7 | rows=[44] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E45 | value='6.1' | fill=00000000 | rows=[44] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F45 | value='0.15' | fill=00000000 | rows=[44] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G45 | value='6.4' | fill=7 | rows=[44] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H45 | value='0.14' | fill=7 | rows=[44] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I45 | value='1.3' | fill=00000000 | rows=[44] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J45 | value='0.03' | fill=00000000 | rows=[44] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K45 | value='0.1' | fill=7 | rows=[44] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L45 | value='0' | fill=7 | rows=[44] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M45 | value='0.4' | fill=00000000 | rows=[44] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N45 | value='0.01' | fill=00000000 | rows=[44] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O45 | value='0' | fill=7 | rows=[44] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P45 | value='0' | fill=7 | rows=[44] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q45 | value='0' | fill=None | rows=[44] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R45 | value='0' | fill=00000000 | rows=[44] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B46 | value='Q3' | fill=00000000 | rows=[45] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C46 | value='104' | fill=7 | rows=[45] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D46 | value='2.74' | fill=7 | rows=[45] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E46 | value='14.8' | fill=00000000 | rows=[45] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F46 | value='0.25' | fill=00000000 | rows=[45] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G46 | value='6.5' | fill=7 | rows=[45] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H46 | value='0.14' | fill=7 | rows=[45] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I46 | value='2' | fill=00000000 | rows=[45] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J46 | value='0.05' | fill=00000000 | rows=[45] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K46 | value='0.1' | fill=7 | rows=[45] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L46 | value='0' | fill=7 | rows=[45] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M46 | value='0.5' | fill=00000000 | rows=[45] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N46 | value='0.01' | fill=00000000 | rows=[45] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O46 | value='0' | fill=7 | rows=[45] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P46 | value='0' | fill=7 | rows=[45] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q46 | value='0' | fill=None | rows=[45] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R46 | value='0' | fill=00000000 | rows=[45] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A47 | value='*Changes to borrower accounts as a result of the administration’s executive action in late March 2020, and provisions in the CARES ACT, which was signed on March 27, 2020, are underrepresented in FY2020 Q2 due to the timing of this report. From FY2020 Q3 through FY2023 Q3, loans in non-school-related deferments were placed in a mandatory administrative forbearance as a result of the CARES Act.' | fill=FF00B0F0 | rows=[46] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17] | col_header=False | row_header=False | metadata=True
Cell A49 | value='Notes:' | fill=FF00B0F0 | rows=[48] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A50 | value='Total deferment amounts may differ across portfolio reports due to rounding and the timing of the data runs.' | fill=FF00B0F0 | rows=[49] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17] | col_header=False | row_header=False | metadata=True

