=== economy-table17.xlsx ===
Cell A1 | value='SPENDING' | fill=FFFFFF00 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9] | col_header=True | row_header=True | metadata=False
Cell Q11 | value='Department Family' | fill=FF00B050 | rows=[10] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R11 | value='582' | fill=None | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S11 | value='666' | fill=None | rows=[10] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B12 | value='E: Central Home Office' | fill=None | rows=[11] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='78.288' | fill=None | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='87.5' | fill=None | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G12 | value='IT' | fill=FF00B050 | rows=[11, 12] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H12 | value='Total 3rd Party ICT Cost (£million)' | fill=FF00B050 | rows=[11] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I12 | value='216.84' | fill=None | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='110.58' | fill=None | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L12 | value='2a Number of known organised criminals (current = 30 June 2011)' | fill=FF00B050 | rows=[11] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M12 | value='38861' | fill=None | rows=[11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N12 | value='Not applicable' | fill=None | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P12 | value='Department and Agencies Only' | fill=FFFFFF00 | rows=[11] | cols=[15, 16] | col_header=True | row_header=False | metadata=False
Cell R12 | value='Current' | fill=FFFFFF00 | rows=[11] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S12 | value='Previous' | fill=FFFFFF00 | rows=[11] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell A13 | value='Purchase of goods and services within Resource DEL' | fill=FF00B050 | rows=[12] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D13 | value='684.835' | fill=None | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='660.1' | fill=None | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H13 | value='Cost of desktop provision per FTE (£)' | fill=FF00B050 | rows=[12] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I13 | value='243.15' | fill=None | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='237.27' | fill=None | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L13 | value='2b Number of organised crime groups (current = 30 June 2011)' | fill=FF00B050 | rows=[12] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M13 | value='7255' | fill=None | rows=[12] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N13 | value='Not applicable' | fill=None | rows=[12] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P13 | value='Workforce Shape
[Total full-time equivalent by]
(%, current = at 31 Mar 2012, previous = at 31 Dec 2011)' | fill=FF00B050 | rows=[12, 13, 14, 15, 16, 17] | cols=[15] | col_header=False | row_header=True | metadata=False
Cell Q13 | value='Administrative Assistants and Administrative Officers' | fill=FF00B050 | rows=[12] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R13 | value='32.1' | fill=None | rows=[12] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S13 | value='32.4' | fill=None | rows=[12] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A14 | value='Payroll within Resource DEL' | fill=FF00B050 | rows=[13] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D14 | value='390.215' | fill=None | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='428.9' | fill=None | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G14 | value='Corporate Service Cost' | fill=FF00B050 | rows=[13, 14, 15, 16, 17] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H14 | value='Human Resources (£million)' | fill=FF00B050 | rows=[13] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I14 | value='18.14' | fill=None | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='18.07' | fill=None | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L14 | value='3 Net migration  to the UK (current = year  to Sept 2011, previous = year to June 2011)' | fill=FF00B050 | rows=[13] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M14 | value='252000' | fill=None | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N14 | value='250000' | fill=None | rows=[13] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q14 | value='Executive Officers' | fill=FF00B050 | rows=[13] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R14 | value='37.6' | fill=None | rows=[13] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S14 | value='37.6' | fill=None | rows=[13] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Grants within Resource DEL' | fill=FF00B050 | rows=[14] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D15 | value='1843.841' | fill=None | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='1659.8' | fill=None | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H15 | value='Finance (£million)' | fill=FF00B050 | rows=[14] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I15 | value='7.73' | fill=None | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='7.63' | fill=None | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L15 | value='4 Annual level of tax revenue that is protected through detecting goods where excise duty has not been declared (£million, current =January - March 2012, previous= October - December 2011)' | fill=FF00B050 | rows=[14] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M15 | value='60' | fill=None | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N15 | value='90' | fill=None | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q15 | value='Higher and Senior Executive Officers' | fill=FF00B050 | rows=[14] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R15 | value='23' | fill=None | rows=[14] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S15 | value='22.8' | fill=None | rows=[14] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A16 | value='of which Capital DEL' | fill=FF00B050 | rows=[15] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D16 | value='222.883' | fill=None | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='251.8' | fill=None | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H16 | value='Procurement (£million)' | fill=FF00B050 | rows=[15] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I16 | value='5.28' | fill=None | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='4.13' | fill=None | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L16 | value='5 Clearance of passengers at the border within published standards (%, current = current =January - March 2012, previous= October - December 2011)' | fill=FF00B050 | rows=[15] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M16 | value='98' | fill=None | rows=[15] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N16 | value='98' | fill=None | rows=[15] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q16 | value='Grade 7/6' | fill=FF00B050 | rows=[15] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R16 | value='6.4' | fill=None | rows=[15] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S16 | value='6.3' | fill=None | rows=[15] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A17 | value='Up to top 5 contributory elements' | fill=FF00B050 | rows=[16, 17, 18, 19, 20] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B17 | value='A: Crime and Policing' | fill=None | rows=[16] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='66.988' | fill=None | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='87.3' | fill=None | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H17 | value='Legal (£million)' | fill=FF00B050 | rows=[16] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I17 | value='23.17' | fill=None | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='13.03' | fill=None | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L17 | value='6 Percentage of migration applications decided within published standards (%, current =January - March 2012, previous= October - December 2011)' | fill=FF00B050 | rows=[16] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M17 | value='94' | fill=None | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N17 | value='92' | fill=None | rows=[16] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q17 | value='Senior Civil Servants' | fill=FF00B050 | rows=[16] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R17 | value='0.9' | fill=None | rows=[16] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S17 | value='0.9' | fill=None | rows=[16] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B18 | value='B: UK Border Agency' | fill=None | rows=[17] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='45.607' | fill=None | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='75.8' | fill=None | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H18 | value='Communications (£million)' | fill=FF00B050 | rows=[17] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I18 | value='12.19' | fill=None | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='8.23' | fill=None | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L18 | value='7 Percentage of asylum applications concluded in one year (%, current =January - March 2012, previous= October - December 2011)' | fill=FF00B050 | rows=[17] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M18 | value='63' | fill=None | rows=[17] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N18 | value='64' | fill=None | rows=[17] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q18 | value='Part Time' | fill=FF00B050 | rows=[17] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R18 | value='19.6' | fill=None | rows=[17] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S18 | value='19' | fill=None | rows=[17] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B19 | value='C: Security & Counter Terrorism' | fill=None | rows=[18] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='58.281' | fill=None | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='63.6' | fill=None | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G19 | value='Fraud, Error, Debt' | fill=FF00B050 | rows=[18, 19, 20, 21] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H19 | value='Total Identified Fraud (£million)' | fill=FF00B050 | rows=[18] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I19 | value='0.025063' | fill=None | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='0.001949' | fill=None | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L19 | value='8 Passport applications processed within target (%, current = Q4 2011-12, previous = Q3 2011-12)' | fill=FF00B050 | rows=[18] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M19 | value='100' | fill=None | rows=[18] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N19 | value='99' | fill=None | rows=[18] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P19 | value='Workforce Dynamics' | fill=FF00B050 | rows=[18, 19] | cols=[15] | col_header=False | row_header=True | metadata=False
Cell Q19 | value='Recruitment Exceptions (current = Q4  2011-12, previous = Q3 2011-12)' | fill=FF00B050 | rows=[18] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R19 | value='164' | fill=None | rows=[18] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S19 | value='23' | fill=None | rows=[18] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B20 | value='D: Identity & Passports' | fill=None | rows=[19] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='23.728' | fill=None | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='21.2' | fill=None | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H20 | value='Total known Errors (£million)' | fill=FF00B050 | rows=[19] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I20 | value='0' | fill=None | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='0.51' | fill=None | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L20 | value='9a Number of organisations that voluntarily report on the gender diversity of their workforce (Organisations with 250+ employees, current=2009-11)' | fill=FF00B050 | rows=[19] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M20 | value='400' | fill=None | rows=[19] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N20 | value='Not applicable' | fill=None | rows=[19] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q20 | value='Annual Turnover Rate (%, current = at 31 Mar 2012, previous = at 31 Dec 2011)' | fill=FF00B050 | rows=[19] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R20 | value='10.8' | fill=None | rows=[19] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S20 | value='12.5' | fill=None | rows=[19] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B21 | value='E: Central Home Office' | fill=None | rows=[20] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='28.279' | fill=None | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='3.6' | fill=None | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H21 | value='Total Debt (£million)' | fill=FF00B050 | rows=[20] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I21 | value='38.37' | fill=None | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='32.97' | fill=None | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L21 | value='9b Number of organisations that voluntarily report on their gender pay gap  (Organisations with 250+ employees, current=2009-11)' | fill=FF00B050 | rows=[20] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M21 | value='100' | fill=None | rows=[20] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N21 | value='Not applicable' | fill=None | rows=[20] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P21 | value='Workforce Diversity
[Total]
(%, current = at 31 Mar 2012, previous = at 31 Dec 2011)' | fill=FF00B050 | rows=[20, 21, 22] | cols=[15] | col_header=False | row_header=True | metadata=False
Cell Q21 | value='Black and Minority Ethnic' | fill=FF00B050 | rows=[20] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R21 | value='23.2' | fill=None | rows=[20] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S21 | value='23.2' | fill=None | rows=[20] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A22 | value='Total Annually Managed Expenditure (AME)' | fill=FF00B050 | rows=[21] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D22 | value='374.23' | fill=None | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='61.3' | fill=None | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H22 | value='Debtor Days' | fill=FF00B050 | rows=[21] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I22 | value='9.28' | fill=None | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='5.76' | fill=None | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L22 | value='Other Data Sets' | fill=FFFFFF00 | rows=[21] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M22 | value='Current' | fill=FFFFFF00 | rows=[21] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N22 | value='Previous' | fill=FFFFFF00 | rows=[21] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell Q22 | value='Women' | fill=FF00B050 | rows=[21] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R22 | value='52.3' | fill=None | rows=[21] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S22 | value='52.3' | fill=None | rows=[21] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A23 | value='Up to top 5 contributory elements' | fill=FF00B050 | rows=[22, 23, 24, 25, 26] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B23 | value='A: Crime and Policing' | fill=None | rows=[22] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='384.526' | fill=None | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='34.8' | fill=None | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G23 | value='Voluntary and community sector (VCS)/Small and medium enterprises (SME)' | fill=FF00B050 | rows=[22, 23, 24] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H23 | value='Procurement spend with SME (£million)' | fill=FF00B050 | rows=[22] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I23 | value='59.29' | fill=None | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='36.42' | fill=None | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L23 | value='1  Non-asylum passengers initially refused entry (current = Q1 2012, previous = Q4 2011 (calendar years))' | fill=FF00B050 | rows=[22] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M23 | value='3473' | fill=None | rows=[22] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N23 | value='4148' | fill=None | rows=[22] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q23 | value='Disabled' | fill=FF00B050 | rows=[22] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R23 | value='6.7' | fill=None | rows=[22] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S23 | value='6.7' | fill=None | rows=[22] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B24 | value='B: UK Border Agency' | fill=None | rows=[23] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='-7.655' | fill=None | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='23.7' | fill=None | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H24 | value='Procurement spend with VCS (£million)' | fill=FF00B050 | rows=[23] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I24 | value='2.99' | fill=None | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='Not applicable' | fill=None | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L24 | value='2 Total removals and voluntary departures  (current = Q1 2012, previous = Q4 2011 (calendar years))' | fill=FF00B050 | rows=[23] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M24 | value='13386' | fill=None | rows=[23] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N24 | value='13661' | fill=None | rows=[23] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P24 | value='Workforce Diversity
[Senior Civil Servants only]
(%, current = at 31 Mar 2012, previous = at 31 Dec 2011)' | fill=FF00B050 | rows=[23, 24, 25, 26] | cols=[15] | col_header=False | row_header=True | metadata=False
Cell Q24 | value='Black and Minority Ethnic' | fill=FF00B050 | rows=[23] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R24 | value='6' | fill=None | rows=[23] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S24 | value='5.6' | fill=None | rows=[23] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B25 | value='C: Security & Counter Terrorism' | fill=None | rows=[24] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='0.561' | fill=None | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='1.1' | fill=None | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H25 | value='Grants to VCS (£million)' | fill=FF00B050 | rows=[24] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I25 | value='10.96' | fill=None | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='11.89' | fill=None | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L25 | value='3 Number of asylum applications received (current = Q1 2012, previous = Q4 2011 (calendar years))' | fill=FF00B050 | rows=[24] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M25 | value='4818' | fill=None | rows=[24] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N25 | value='5261' | fill=None | rows=[24] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q25 | value='Women' | fill=FF00B050 | rows=[24] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R25 | value='38.5' | fill=None | rows=[24] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S25 | value='38.1' | fill=None | rows=[24] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B26 | value='D: Identity & Passports' | fill=None | rows=[25] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='-1.802' | fill=None | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='3.4' | fill=None | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G26 | value='Major Projects (Top 5)' | fill=FFFFFF00 | rows=[25] | cols=[6, 7, 8] | col_header=True | row_header=False | metadata=False
Cell J26 | value='Cost' | fill=FFFFFF00 | rows=[25] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell L26 | value='4 Number of hits that the Police.uk has received (current= January 2011 - June 2012, previous= January 2011 - March 2012)' | fill=FF00B050 | rows=[25] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M26 | value='484765704' | fill=None | rows=[25] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N26 | value='469678632' | fill=None | rows=[25] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q26 | value='Women (Top Management Posts)' | fill=FF00B050 | rows=[25] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R26 | value='29.6' | fill=None | rows=[25] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S26 | value='28.9' | fill=None | rows=[25] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B27 | value='E: Central Home Office' | fill=None | rows=[26] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='-1.4' | fill=None | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='-1.9' | fill=None | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G27 | value='A: Compass - Ongoing contract provision for UKBA accommodation and related services (£million)' | fill=FF00B050 | rows=[26] | cols=[6, 7, 8] | col_header=False | row_header=True | metadata=False
Cell J27 | value='883' | fill=None | rows=[26] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L27 | value='Structural Reform Plan Actions' | fill=FFFFFF00 | rows=[26] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M27 | value='Q1 2012-13' | fill=FFFFFF00 | rows=[26] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N27 | value='Q4 2011-12' | fill=FFFFFF00 | rows=[26] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell Q27 | value='Disabled' | fill=FF00B050 | rows=[26] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R27 | value='4.4' | fill=None | rows=[26] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S27 | value='4.4' | fill=None | rows=[26] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A28 | value='Financial Indicators' | fill=FFFFFF00 | rows=[27] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell D28 | value='Q4 2011-12' | fill=FFFFFF00 | rows=[27] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E28 | value='Q3 2011-12' | fill=FFFFFF00 | rows=[27] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell G28 | value='B: e-Borders - This programme will create an integrated and more secure border for the 21st century (£million)' | fill=FF00B050 | rows=[27] | cols=[6, 7, 8] | col_header=False | row_header=True | metadata=False
Cell J28 | value='801' | fill=None | rows=[27] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L28 | value='Total number of actions completed over the quarter' | fill=FF00B050 | rows=[27] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M28 | value='17' | fill=None | rows=[27] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N28 | value='15' | fill=None | rows=[27] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P28 | value='Attendance (AWDL) (see measurement annex for time coverage)' | fill=FF00B050 | rows=[27, 28] | cols=[15] | col_header=False | row_header=True | metadata=False
Cell Q28 | value='Actual' | fill=FF00B050 | rows=[27] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R28 | value='7.9' | fill=None | rows=[27] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S28 | value='7.8' | fill=None | rows=[27] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A29 | value='Accuracy of Cash Forecasting ( +/- %)' | fill=FF00B050 | rows=[28] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D29 | value='4.74' | fill=None | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='6.32' | fill=None | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G29 | value='C: Cyclamen - To deter the illicit importation of freight entering the UK, whilst minimising the disruption to legitimate passengers and freight (£million)' | fill=FF00B050 | rows=[28] | cols=[6, 7, 8] | col_header=False | row_header=True | metadata=False
Cell J29 | value='747' | fill=None | rows=[28] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L29 | value='Total number of actions overdue at the end of the quarter' | fill=FF00B050 | rows=[28] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M29 | value='21' | fill=None | rows=[28] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N29 | value='15' | fill=None | rows=[28] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q29 | value='Standardised' | fill=FF00B050 | rows=[28] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R29 | value='8.1' | fill=None | rows=[28] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S29 | value='8.1' | fill=None | rows=[28] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A30 | value='Working Capital Forecast (% variance of Actual v Forecast)' | fill=FF00B050 | rows=[29] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D30 | value='38.16' | fill=None | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='187.03' | fill=None | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G30 | value='D: Disclosure and Barring Programme - To reduce costs and enhance vetting services offered by CRB and ISA (£million)' | fill=FF00B050 | rows=[29] | cols=[6, 7, 8] | col_header=False | row_header=True | metadata=False
Cell J30 | value='708' | fill=None | rows=[29] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L30 | value='Number of overdue actions that are attributable to external factors' | fill=FF00B050 | rows=[29] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M30 | value='3' | fill=None | rows=[29] | cols=[12] | col_header=False | row_header=False | metadata=False
