=== geography-table03.xlsx ===
Cell A1 | value='Reference area' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell A45 | value='·  O'Higgins' | fill=FF00B050 | rows=[44] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C45 | value='10589050.3738906' | fill=00000000 | rows=[44] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A46 | value='·  Maule' | fill=FF00B050 | rows=[45] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C46 | value='20848252.1939996' | fill=00000000 | rows=[45] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A47 | value='·  Biobío' | fill=FF00B050 | rows=[46] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C47 | value='19693725.7307887' | fill=00000000 | rows=[46] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A48 | value='·  Araucanía' | fill=FF00B050 | rows=[47] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C48 | value='25485007.3393998' | fill=00000000 | rows=[47] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A49 | value='·  Los Lagos' | fill=FF00B050 | rows=[48] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C49 | value='41369370.4042173' | fill=00000000 | rows=[48] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A50 | value='·  Aysén' | fill=FF00B050 | rows=[49] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C50 | value='64419884.4058021' | fill=00000000 | rows=[49] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A51 | value='·  Magallanes and Chilean Antarctica' | fill=FF00B050 | rows=[50] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C51 | value='81440384.7141455' | fill=00000000 | rows=[50] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A52 | value='·  Santiago Metropolitan Region' | fill=FF00B050 | rows=[51] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C52 | value='8686308.89729658' | fill=00000000 | rows=[51] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A53 | value='·  Los Ríos' | fill=FF00B050 | rows=[52] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C53 | value='14664617.1389936' | fill=00000000 | rows=[52] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A54 | value='·  Arica y Parinacota' | fill=FF00B050 | rows=[53] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C54 | value='3728753.5245697' | fill=00000000 | rows=[53] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A55 | value='·  Ñuble' | fill=FF00B050 | rows=[54] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C55 | value='10250958.7368048' | fill=00000000 | rows=[54] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A56 | value='Colombia' | fill=FFFFFF00 | rows=[55] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A57 | value='·  Antioquia' | fill=FF00B050 | rows=[56] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C57 | value='60877161.6506199' | fill=00000000 | rows=[56] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A58 | value='·  Atlántico' | fill=FF00B050 | rows=[57] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C58 | value='2768607.81532962' | fill=00000000 | rows=[57] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A59 | value='·  Bogotá Capital District' | fill=FF00B050 | rows=[58] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C59 | value='1275494.30297004' | fill=00000000 | rows=[58] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A60 | value='·  Bolívar' | fill=FF00B050 | rows=[59] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C60 | value='22972202.1022153' | fill=00000000 | rows=[59] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A61 | value='·  Boyacá' | fill=FF00B050 | rows=[60] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C61 | value='22169741.5100576' | fill=00000000 | rows=[60] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A62 | value='·  Caldas' | fill=FF00B050 | rows=[61] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C62 | value='7277672.12667978' | fill=00000000 | rows=[61] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A63 | value='·  Caquetá' | fill=FF00B050 | rows=[62] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C63 | value='87950272.9866484' | fill=00000000 | rows=[62] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A64 | value='·  Cauca' | fill=FF00B050 | rows=[63] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C64 | value='30255299.6485896' | fill=00000000 | rows=[63] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A65 | value='·  Cesar' | fill=FF00B050 | rows=[64] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C65 | value='21496061.8330214' | fill=00000000 | rows=[64] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A66 | value='·  Córdoba' | fill=FF00B050 | rows=[65] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C66 | value='23642058.602354' | fill=00000000 | rows=[65] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A67 | value='·  Cundinamarca' | fill=FF00B050 | rows=[66] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C67 | value='21359733.8174675' | fill=00000000 | rows=[66] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A68 | value='·  Chocó' | fill=FF00B050 | rows=[67] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C68 | value='45760569.2560521' | fill=00000000 | rows=[67] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A69 | value='·  Huila' | fill=FF00B050 | rows=[68] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C69 | value='17549878.410194' | fill=00000000 | rows=[68] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A70 | value='·  La Guajira' | fill=FF00B050 | rows=[69] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C70 | value='18101433.606719' | fill=00000000 | rows=[69] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A71 | value='·  Magdalena' | fill=FF00B050 | rows=[70] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C71 | value='19954383.211453' | fill=00000000 | rows=[70] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A72 | value='·  Meta' | fill=FF00B050 | rows=[71] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C72 | value='81195055.1701473' | fill=00000000 | rows=[71] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A73 | value='·  Nariño' | fill=FF00B050 | rows=[72] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C73 | value='29014570.237148' | fill=00000000 | rows=[72] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A74 | value='·  Norte de Santander' | fill=FF00B050 | rows=[73] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C74 | value='21394076.4567929' | fill=00000000 | rows=[73] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A75 | value='·  Quindío' | fill=FF00B050 | rows=[74] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C75 | value='1870674.84537199' | fill=00000000 | rows=[74] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A76 | value='·  Risaralda' | fill=FF00B050 | rows=[75] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C76 | value='3452311.38069282' | fill=00000000 | rows=[75] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A77 | value='·  Santander' | fill=FF00B050 | rows=[76] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C77 | value='29912801.1199266' | fill=00000000 | rows=[76] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A78 | value='·  Sucre' | fill=FF00B050 | rows=[77] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C78 | value='8686839.84821308' | fill=00000000 | rows=[77] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A79 | value='·  Tolima' | fill=FF00B050 | rows=[78] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C79 | value='22826876.7874938' | fill=00000000 | rows=[78] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A80 | value='·  Valle del Cauca' | fill=FF00B050 | rows=[79] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C80 | value='18352829.0248488' | fill=00000000 | rows=[79] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A81 | value='·  Arauca' | fill=FF00B050 | rows=[80] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C81 | value='23387466.035061' | fill=00000000 | rows=[80] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A82 | value='·  Casanare' | fill=FF00B050 | rows=[81] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C82 | value='42579202.8780887' | fill=00000000 | rows=[81] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A83 | value='·  Putumayo' | fill=FF00B050 | rows=[82] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C83 | value='25507306.3667915' | fill=00000000 | rows=[82] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A84 | value='·  San Andrés' | fill=FF00B050 | rows=[83] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C84 | value='39860.6924140638' | fill=00000000 | rows=[83] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A85 | value='·  Amazonas' | fill=FF00B050 | rows=[84] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C85 | value='107306441.303133' | fill=00000000 | rows=[84] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A86 | value='·  Guainía' | fill=FF00B050 | rows=[85] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C86 | value='69911213.8394928' | fill=00000000 | rows=[85] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A87 | value='·  Guaviare' | fill=FF00B050 | rows=[86] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C87 | value='55121310.2418254' | fill=00000000 | rows=[86] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A88 | value='·  Vaupés' | fill=FF00B050 | rows=[87] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C88 | value='52714527.0350507' | fill=00000000 | rows=[87] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A89 | value='·  Vichada' | fill=FF00B050 | rows=[88] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C89 | value='97780579.2401728' | fill=00000000 | rows=[88] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A90 | value='Costa Rica' | fill=FFFFFF00 | rows=[89] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A91 | value='·  Central' | fill=FF00B050 | rows=[90] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C91 | value='8096038.0930925' | fill=00000000 | rows=[90] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A92 | value='·  Chorotega' | fill=FF00B050 | rows=[91] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C92 | value='9460859.97525488' | fill=00000000 | rows=[91] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A93 | value='·  Central Pacific' | fill=FF00B050 | rows=[92] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C93 | value='3566383.11189526' | fill=00000000 | rows=[92] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A94 | value='·  Brunca' | fill=FF00B050 | rows=[93] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C94 | value='9099702.21554821' | fill=00000000 | rows=[93] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A95 | value='·  Huetar Caribbean' | fill=FF00B050 | rows=[94] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C95 | value='9000913.56964775' | fill=00000000 | rows=[94] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A96 | value='·  North Huetar' | fill=FF00B050 | rows=[95] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C96 | value='9499720.40495411' | fill=00000000 | rows=[95] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A97 | value='Czechia' | fill=FFFFFF00 | rows=[96] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A98 | value='·  Prague' | fill=FF00B050 | rows=[97] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C98 | value='240838.655642644' | fill=00000000 | rows=[97] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A99 | value='·  Central Bohemian Region' | fill=FF00B050 | rows=[98] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C99 | value='5743105.39500625' | fill=00000000 | rows=[98] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A100 | value='·  Southwest' | fill=FF00B050 | rows=[99] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C100 | value='12652594.744275' | fill=00000000 | rows=[99] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A101 | value='·  Northwest' | fill=FF00B050 | rows=[100] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C101 | value='6269160.35758426' | fill=00000000 | rows=[100] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A102 | value='·  Northeast' | fill=FF00B050 | rows=[101] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C102 | value='8157096.84643744' | fill=00000000 | rows=[101] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A103 | value='·  Southeast' | fill=FF00B050 | rows=[102] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C103 | value='7214634.19082366' | fill=00000000 | rows=[102] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A104 | value='·  Central Moravia' | fill=FF00B050 | rows=[103] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C104 | value='6085420.28292881' | fill=00000000 | rows=[103] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A105 | value='·  Moravia-Silesia' | fill=FF00B050 | rows=[104] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C105 | value='3837870.93918745' | fill=00000000 | rows=[104] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A106 | value='Denmark' | fill=FFFFFF00 | rows=[105] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A107 | value='·  Capital region' | fill=FF00B050 | rows=[106] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C107 | value='1483193.02954821' | fill=00000000 | rows=[106] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A108 | value='·  Zealand' | fill=FF00B050 | rows=[107] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C108 | value='2942841.61094804' | fill=00000000 | rows=[107] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A109 | value='·  Southern Denmark' | fill=FF00B050 | rows=[108] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C109 | value='5767021.90096652' | fill=00000000 | rows=[108] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A110 | value='·  Central Denmark' | fill=FF00B050 | rows=[109] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C110 | value='6568091.66638906' | fill=00000000 | rows=[109] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A111 | value='·  Northern Denmark' | fill=FF00B050 | rows=[110] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C111 | value='4029568.73007838' | fill=00000000 | rows=[110] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A112 | value='Estonia' | fill=FFFFFF00 | rows=[111] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A113 | value='·  Estonia' | fill=FF00B050 | rows=[112] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C113 | value='34429533.6180105' | fill=00000000 | rows=[112] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A114 | value='Finland' | fill=FFFFFF00 | rows=[113] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A115 | value='·  Western Finland' | fill=FF00B050 | rows=[114] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C115 | value='50862486.1855513' | fill=00000000 | rows=[114] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A116 | value='·  Helsinki-Uusimaa' | fill=FF00B050 | rows=[115] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C116 | value='7313987.24882938' | fill=00000000 | rows=[115] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A117 | value='·  Southern Finland' | fill=FF00B050 | rows=[116] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C117 | value='25701485.4436238' | fill=00000000 | rows=[116] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A118 | value='·  Northern and Eastern Finland' | fill=FF00B050 | rows=[117] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C118 | value='187994550.260342' | fill=00000000 | rows=[117] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A119 | value='·  Åland' | fill=FF00B050 | rows=[118] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C119 | value='1287365.14244981' | fill=00000000 | rows=[118] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A120 | value='France' | fill=FFFFFF00 | rows=[119] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A121 | value='·  Île-de-France' | fill=FF00B050 | rows=[120] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C121 | value='5261797.44960942' | fill=00000000 | rows=[120] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A122 | value='·  Centre-Val de Loire' | fill=FF00B050 | rows=[121] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C122 | value='19293223.4512584' | fill=00000000 | rows=[121] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A123 | value='·  Bourgogne-Franche-Comté' | fill=FF00B050 | rows=[122] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C123 | value='34702444.8330069' | fill=00000000 | rows=[122] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A124 | value='·  Normandy' | fill=FF00B050 | rows=[123] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C124 | value='17243610.2928816' | fill=00000000 | rows=[123] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A125 | value='·  Hauts-de-France' | fill=FF00B050 | rows=[124] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C125 | value='11828068.7041288' | fill=00000000 | rows=[124] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A126 | value='·  Grand Est' | fill=FF00B050 | rows=[125] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C126 | value='33405988.9999912' | fill=00000000 | rows=[125] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A127 | value='·  Pays de la Loire' | fill=FF00B050 | rows=[126] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C127 | value='17951404.1443178' | fill=00000000 | rows=[126] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A128 | value='·  Brittany' | fill=FF00B050 | rows=[127] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C128 | value='16602197.1527633' | fill=00000000 | rows=[127] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A129 | value='·  Nouvelle-Aquitaine' | fill=FF00B050 | rows=[128] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C129 | value='60798742.7149572' | fill=00000000 | rows=[128] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A130 | value='·  Occitanie' | fill=FF00B050 | rows=[129] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C130 | value='55987394.5887526' | fill=00000000 | rows=[129] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A131 | value='·  Auvergne-Rhône-Alpes' | fill=FF00B050 | rows=[130] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C131 | value='57609262.4971128' | fill=00000000 | rows=[130] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A132 | value='·  Provence-Alpes-Côte d’Azur' | fill=FF00B050 | rows=[131] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C132 | value='25971805.7023528' | fill=00000000 | rows=[131] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A133 | value='·  Corsica' | fill=FF00B050 | rows=[132] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C133 | value='8389268.07039588' | fill=00000000 | rows=[132] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A134 | value='·  Guadeloupe' | fill=FF00B050 | rows=[133] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C134 | value='1406098.15543425' | fill=00000000 | rows=[133] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A135 | value='·  Martinique' | fill=FF00B050 | rows=[134] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C135 | value='982096.572440781' | fill=00000000 | rows=[134] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A136 | value='·  French Guiana' | fill=FF00B050 | rows=[135] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C136 | value='81481443.9595892' | fill=00000000 | rows=[135] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A137 | value='·  La Réunion' | fill=FF00B050 | rows=[136] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C137 | value='2187338.54837336' | fill=00000000 | rows=[136] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A138 | value='·  Mayotte' | fill=FF00B050 | rows=[137] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C138 | value='343251.643540505' | fill=00000000 | rows=[137] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A139 | value='Germany' | fill=FFFFFF00 | rows=[138] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A140 | value='·  Baden-Württemberg' | fill=FF00B050 | rows=[139] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C140 | value='25052960.4905365' | fill=00000000 | rows=[139] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A141 | value='·  Bavaria' | fill=FF00B050 | rows=[140] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C141 | value='46694829.0327552' | fill=00000000 | rows=[140] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A142 | value='·  Berlin' | fill=FF00B050 | rows=[141] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C142 | value='562046.115984148' | fill=00000000 | rows=[141] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A143 | value='·  Brandenburg' | fill=FF00B050 | rows=[142] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C143 | value='19012318.3536477' | fill=00000000 | rows=[142] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A144 | value='·  Bremen' | fill=FF00B050 | rows=[143] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C144 | value='253466.983522575' | fill=00000000 | rows=[143] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A145 | value='·  Hamburg' | fill=FF00B050 | rows=[144] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C145 | value='486218.430015877' | fill=00000000 | rows=[144] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A146 | value='·  Hesse' | fill=FF00B050 | rows=[145] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C146 | value='15260413.2677578' | fill=00000000 | rows=[145] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A147 | value='·  Mecklenburg-Vorpommern' | fill=FF00B050 | rows=[146] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C147 | value='11545841.6305242' | fill=00000000 | rows=[146] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A148 | value='·  Lower Saxony' | fill=FF00B050 | rows=[147] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C148 | value='27867931.4289636' | fill=00000000 | rows=[147] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A149 | value='·  North Rhine-Westphalia' | fill=FF00B050 | rows=[148] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C149 | value='20775664.4532808' | fill=00000000 | rows=[148] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A150 | value='·  Rhineland-Palatinate' | fill=FF00B050 | rows=[149] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C150 | value='14704612.0525852' | fill=00000000 | rows=[149] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A151 | value='·  Saarland' | fill=FF00B050 | rows=[150] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C151 | value='1984240.47069995' | fill=00000000 | rows=[150] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A152 | value='·  Saxony' | fill=FF00B050 | rows=[151] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C152 | value='10521217.2679717' | fill=00000000 | rows=[151] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A153 | value='·  Saxony-Anhalt' | fill=FF00B050 | rows=[152] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C153 | value='9587070.78701915' | fill=00000000 | rows=[152] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A154 | value='·  Schleswig-Holstein' | fill=FF00B050 | rows=[153] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C154 | value='8642896.74201516' | fill=00000000 | rows=[153] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A155 | value='·  Thuringia' | fill=FF00B050 | rows=[154] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C155 | value='9490580.71814947' | fill=00000000 | rows=[154] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A156 | value='Greece' | fill=FFFFFF00 | rows=[155] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A157 | value='·  Attica' | fill=FF00B050 | rows=[156] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C157 | value='3117196.65351172' | fill=00000000 | rows=[156] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A158 | value='·  North Aegean' | fill=FF00B050 | rows=[157] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C158 | value='3540740.27645783' | fill=00000000 | rows=[157] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A159 | value='·  South Aegean' | fill=FF00B050 | rows=[158] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C159 | value='4782276.80056924' | fill=00000000 | rows=[158] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A160 | value='·  Crete' | fill=FF00B050 | rows=[159] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C160 | value='7738913.30148526' | fill=00000000 | rows=[159] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A161 | value='·  Eastern Macedonia, Thrace' | fill=FF00B050 | rows=[160] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C161 | value='10471078.8911578' | fill=00000000 | rows=[160] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A162 | value='·  Central Macedonia' | fill=FF00B050 | rows=[161] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C162 | value='12763225.2879505' | fill=00000000 | rows=[161] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A163 | value='·  Western Macedonia' | fill=FF00B050 | rows=[162] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C163 | value='7320534.33843642' | fill=00000000 | rows=[162] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A164 | value='·  Epirus' | fill=FF00B050 | rows=[163] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C164 | value='8564317.64056203' | fill=00000000 | rows=[163] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A165 | value='·  Thessaly' | fill=FF00B050 | rows=[164] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C165 | value='10016549.7934543' | fill=00000000 | rows=[164] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A166 | value='·  Ionian Islands' | fill=FF00B050 | rows=[165] | cols=[0] | col_header=False | row_header=True | metadata=False
