=== science-table31.xlsx ===
Cell A1 | value='Ripley cluster analysis used for Figure 4b' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4] | col_header=True | row_header=True | metadata=True
Cell AC37 | value='29.13178' | fill=00000000 | rows=[36] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD37 | value='-2.94427' | fill=00000000 | rows=[36] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE37 | value='61.55342' | fill=00000000 | rows=[36] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF37 | value='-7.431465' | fill=00000000 | rows=[36] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG37 | value='23.43886' | fill=00000000 | rows=[36] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH37 | value='-30.37729' | fill=00000000 | rows=[36] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI37 | value='23.53559' | fill=00000000 | rows=[36] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ37 | value='-3.011289' | fill=00000000 | rows=[36] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK37 | value='-6.325024' | fill=00000000 | rows=[36] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL37 | value='62.03083' | fill=00000000 | rows=[36] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM37 | value='-0.797641' | fill=00000000 | rows=[36] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN37 | value='-63.76001' | fill=00000000 | rows=[36] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO37 | value='-14.49798' | fill=00000000 | rows=[36] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell A38 | value='172.5' | fill=00000000 | rows=[37] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B38 | value='17.5401786' | fill=00000000 | rows=[37] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C38 | value='106.146788' | fill=00000000 | rows=[37] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D38 | value='2.443824' | fill=00000000 | rows=[37] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E38 | value='17.93557' | fill=00000000 | rows=[37] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F38 | value='-2.604754' | fill=00000000 | rows=[37] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G38 | value='8.08012' | fill=00000000 | rows=[37] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H38 | value='8.253902' | fill=00000000 | rows=[37] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I38 | value='24.17589' | fill=00000000 | rows=[37] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J38 | value='23.15485' | fill=00000000 | rows=[37] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K38 | value='56.2331' | fill=00000000 | rows=[37] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L38 | value='8.253902' | fill=00000000 | rows=[37] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M38 | value='43.24' | fill=00000000 | rows=[37] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N38 | value='59.62983' | fill=00000000 | rows=[37] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O38 | value='122.7714' | fill=00000000 | rows=[37] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P38 | value='4.298108' | fill=00000000 | rows=[37] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q38 | value='17.93557' | fill=00000000 | rows=[37] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R38 | value='37.21188' | fill=00000000 | rows=[37] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S38 | value='-8.650288' | fill=00000000 | rows=[37] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T38 | value='33.93353' | fill=00000000 | rows=[37] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U38 | value='-5.956179' | fill=00000000 | rows=[37] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V38 | value='13.71927' | fill=00000000 | rows=[37] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W38 | value='1.768036' | fill=00000000 | rows=[37] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X38 | value='-6.441132' | fill=00000000 | rows=[37] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Z38 | value='1.9919' | fill=00000000 | rows=[37] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA38 | value='87.08949' | fill=00000000 | rows=[37] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB38 | value='22.58932' | fill=00000000 | rows=[37] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC38 | value='29.53026' | fill=00000000 | rows=[37] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD38 | value='-2.764891' | fill=00000000 | rows=[37] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE38 | value='63.25679' | fill=00000000 | rows=[37] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF38 | value='-5.345676' | fill=00000000 | rows=[37] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG38 | value='24.82177' | fill=00000000 | rows=[37] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH38 | value='-28.44341' | fill=00000000 | rows=[37] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI38 | value='22.9755' | fill=00000000 | rows=[37] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ38 | value='-2.229654' | fill=00000000 | rows=[37] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK38 | value='-6.662684' | fill=00000000 | rows=[37] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL38 | value='65.65782' | fill=00000000 | rows=[37] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM38 | value='0.615628' | fill=00000000 | rows=[37] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN38 | value='-45.19367' | fill=00000000 | rows=[37] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO38 | value='-13.50986' | fill=00000000 | rows=[37] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell A39 | value='177.5' | fill=00000000 | rows=[38] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B39 | value='21.2301587' | fill=00000000 | rows=[38] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C39 | value='108.189732' | fill=00000000 | rows=[38] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D39 | value='1.532068' | fill=00000000 | rows=[38] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E39 | value='13.63651' | fill=00000000 | rows=[38] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F39 | value='0.386387' | fill=00000000 | rows=[38] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G39 | value='8.912879' | fill=00000000 | rows=[38] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H39 | value='7.338111' | fill=00000000 | rows=[38] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I39 | value='25.05838' | fill=00000000 | rows=[38] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J39 | value='22.75778' | fill=00000000 | rows=[38] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K39 | value='58.82602' | fill=00000000 | rows=[38] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L39 | value='7.338111' | fill=00000000 | rows=[38] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M39 | value='43.20753' | fill=00000000 | rows=[38] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N39 | value='60.82068' | fill=00000000 | rows=[38] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O39 | value='123.9625' | fill=00000000 | rows=[38] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P39 | value='4.831216' | fill=00000000 | rows=[38] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q39 | value='13.63651' | fill=00000000 | rows=[38] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R39 | value='39.5627' | fill=00000000 | rows=[38] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S39 | value='-5.403846' | fill=00000000 | rows=[38] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T39 | value='37.55048' | fill=00000000 | rows=[38] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U39 | value='-4.552487' | fill=00000000 | rows=[38] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V39 | value='10.43628' | fill=00000000 | rows=[38] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell X39 | value='-3.201376' | fill=00000000 | rows=[38] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y39 | value='-39.27077' | fill=00000000 | rows=[38] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z39 | value='-0.391355' | fill=00000000 | rows=[38] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA39 | value='88.80101' | fill=00000000 | rows=[38] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB39 | value='22.25232' | fill=00000000 | rows=[38] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC39 | value='31.93801' | fill=00000000 | rows=[38] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD39 | value='-1.57692' | fill=00000000 | rows=[38] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE39 | value='64.1594' | fill=00000000 | rows=[38] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF39 | value='-6.525255' | fill=00000000 | rows=[38] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG39 | value='24.15634' | fill=00000000 | rows=[38] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH39 | value='-26.32919' | fill=00000000 | rows=[38] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI39 | value='21.67954' | fill=00000000 | rows=[38] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ39 | value='-1.34207' | fill=00000000 | rows=[38] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK39 | value='-7.322489' | fill=00000000 | rows=[38] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL39 | value='67.77895' | fill=00000000 | rows=[38] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM39 | value='-0.049443' | fill=00000000 | rows=[38] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AO39 | value='-17.07044' | fill=00000000 | rows=[38] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell A40 | value='182.5' | fill=00000000 | rows=[39] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B40 | value='20.1768707' | fill=00000000 | rows=[39] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C40 | value='109.510634' | fill=00000000 | rows=[39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D40 | value='2.726732' | fill=00000000 | rows=[39] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E40 | value='15.10961' | fill=00000000 | rows=[39] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F40 | value='0.989719' | fill=00000000 | rows=[39] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G40 | value='10.29886' | fill=00000000 | rows=[39] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H40 | value='9.131927' | fill=00000000 | rows=[39] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I40 | value='24.23928' | fill=00000000 | rows=[39] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J40 | value='23.99091' | fill=00000000 | rows=[39] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K40 | value='59.10274' | fill=00000000 | rows=[39] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L40 | value='9.131927' | fill=00000000 | rows=[39] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M40 | value='43.7082' | fill=00000000 | rows=[39] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N40 | value='61.99731' | fill=00000000 | rows=[39] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O40 | value='126.568' | fill=00000000 | rows=[39] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P40 | value='4.717016' | fill=00000000 | rows=[39] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q40 | value='15.10961' | fill=00000000 | rows=[39] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R40 | value='40.96682' | fill=00000000 | rows=[39] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S40 | value='-4.402217' | fill=00000000 | rows=[39] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T40 | value='38.07831' | fill=00000000 | rows=[39] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U40 | value='-5.863334' | fill=00000000 | rows=[39] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V40 | value='11.41052' | fill=00000000 | rows=[39] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell X40 | value='-5.715794' | fill=00000000 | rows=[39] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y40 | value='-46.75791' | fill=00000000 | rows=[39] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z40 | value='-1.663765' | fill=00000000 | rows=[39] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA40 | value='90.27219' | fill=00000000 | rows=[39] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB40 | value='22.06042' | fill=00000000 | rows=[39] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC40 | value='30.19757' | fill=00000000 | rows=[39] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD40 | value='-1.013417' | fill=00000000 | rows=[39] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE40 | value='64.78209' | fill=00000000 | rows=[39] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF40 | value='-5.907637' | fill=00000000 | rows=[39] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG40 | value='23.78039' | fill=00000000 | rows=[39] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH40 | value='-17.83251' | fill=00000000 | rows=[39] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI40 | value='19.48682' | fill=00000000 | rows=[39] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ40 | value='-1.356374' | fill=00000000 | rows=[39] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK40 | value='-8.367886' | fill=00000000 | rows=[39] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL40 | value='70.46764' | fill=00000000 | rows=[39] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM40 | value='-1.099632' | fill=00000000 | rows=[39] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN40 | value='-27.15656' | fill=00000000 | rows=[39] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO40 | value='-20.81871' | fill=00000000 | rows=[39] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell A41 | value='187.5' | fill=00000000 | rows=[40] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B41 | value='20.156746' | fill=00000000 | rows=[40] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C41 | value='110.671948' | fill=00000000 | rows=[40] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D41 | value='4.652788' | fill=00000000 | rows=[40] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E41 | value='14.53958' | fill=00000000 | rows=[40] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F41 | value='1.991333' | fill=00000000 | rows=[40] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G41 | value='10.44582' | fill=00000000 | rows=[40] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H41 | value='9.04633' | fill=00000000 | rows=[40] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I41 | value='23.5215' | fill=00000000 | rows=[40] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J41 | value='24.03731' | fill=00000000 | rows=[40] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K41 | value='60.57316' | fill=00000000 | rows=[40] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L41 | value='9.04633' | fill=00000000 | rows=[40] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M41 | value='44.39539' | fill=00000000 | rows=[40] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N41 | value='63.03615' | fill=00000000 | rows=[40] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O41 | value='129.1228' | fill=00000000 | rows=[40] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P41 | value='4.869506' | fill=00000000 | rows=[40] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q41 | value='14.53958' | fill=00000000 | rows=[40] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R41 | value='39.36566' | fill=00000000 | rows=[40] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S41 | value='-2.203936' | fill=00000000 | rows=[40] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T41 | value='38.83931' | fill=00000000 | rows=[40] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U41 | value='-4.866049' | fill=00000000 | rows=[40] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V41 | value='11.94914' | fill=00000000 | rows=[40] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell X41 | value='-5.848633' | fill=00000000 | rows=[40] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y41 | value='-53.57658' | fill=00000000 | rows=[40] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z41 | value='-2.409211' | fill=00000000 | rows=[40] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA41 | value='91.81402' | fill=00000000 | rows=[40] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB41 | value='21.53558' | fill=00000000 | rows=[40] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC41 | value='29.71596' | fill=00000000 | rows=[40] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD41 | value='-1.139304' | fill=00000000 | rows=[40] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE41 | value='64.97163' | fill=00000000 | rows=[40] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF41 | value='-5.908396' | fill=00000000 | rows=[40] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG41 | value='25.37406' | fill=00000000 | rows=[40] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH41 | value='-13.00117' | fill=00000000 | rows=[40] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI41 | value='19.70978' | fill=00000000 | rows=[40] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ41 | value='-0.814138' | fill=00000000 | rows=[40] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK41 | value='-8.599827' | fill=00000000 | rows=[40] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL41 | value='70.43402' | fill=00000000 | rows=[40] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM41 | value='-0.112326' | fill=00000000 | rows=[40] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AO41 | value='-19.37232' | fill=00000000 | rows=[40] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell A42 | value='192.5' | fill=00000000 | rows=[41] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B42 | value='15.1706349' | fill=00000000 | rows=[41] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C42 | value='110.476775' | fill=00000000 | rows=[41] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D42 | value='7.48856' | fill=00000000 | rows=[41] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E42 | value='16.23814' | fill=00000000 | rows=[41] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F42 | value='5.276427' | fill=00000000 | rows=[41] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G42 | value='10.51318' | fill=00000000 | rows=[41] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H42 | value='8.232431' | fill=00000000 | rows=[41] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I42 | value='24.38109' | fill=00000000 | rows=[41] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J42 | value='24.52069' | fill=00000000 | rows=[41] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K42 | value='60.78142' | fill=00000000 | rows=[41] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L42 | value='8.232431' | fill=00000000 | rows=[41] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M42 | value='44.24875' | fill=00000000 | rows=[41] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N42 | value='63.39347' | fill=00000000 | rows=[41] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O42 | value='132.4559' | fill=00000000 | rows=[41] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P42 | value='3.566414' | fill=00000000 | rows=[41] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q42 | value='16.23814' | fill=00000000 | rows=[41] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R42 | value='39.85235' | fill=00000000 | rows=[41] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S42 | value='-3.156163' | fill=00000000 | rows=[41] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T42 | value='40.14378' | fill=00000000 | rows=[41] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U42 | value='-7.70053' | fill=00000000 | rows=[41] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V42 | value='7.490526' | fill=00000000 | rows=[41] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W42 | value='-31.0098' | fill=00000000 | rows=[41] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X42 | value='-7.963138' | fill=00000000 | rows=[41] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y42 | value='-55.06621' | fill=00000000 | rows=[41] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z42 | value='-0.976455' | fill=00000000 | rows=[41] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA42 | value='93.23708' | fill=00000000 | rows=[41] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB42 | value='21.59408' | fill=00000000 | rows=[41] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC42 | value='30.55504' | fill=00000000 | rows=[41] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD42 | value='-1.006894' | fill=00000000 | rows=[41] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE42 | value='66.59306' | fill=00000000 | rows=[41] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF42 | value='-12.10432' | fill=00000000 | rows=[41] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG42 | value='28.61708' | fill=00000000 | rows=[41] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH42 | value='-4.212555' | fill=00000000 | rows=[41] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI42 | value='19.85187' | fill=00000000 | rows=[41] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ42 | value='-0.238908' | fill=00000000 | rows=[41] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK42 | value='-8.504814' | fill=00000000 | rows=[41] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL42 | value='65.56906' | fill=00000000 | rows=[41] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM42 | value='2.383065' | fill=00000000 | rows=[41] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN42 | value='-28.60296' | fill=00000000 | rows=[41] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO42 | value='-26.36299' | fill=00000000 | rows=[41] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell A43 | value='197.5' | fill=00000000 | rows=[42] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B43 | value='12.452381' | fill=00000000 | rows=[42] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C43 | value='110.38025' | fill=00000000 | rows=[42] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D43 | value='7.608372' | fill=00000000 | rows=[42] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E43 | value='18.31432' | fill=00000000 | rows=[42] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F43 | value='8.028796' | fill=00000000 | rows=[42] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G43 | value='7.806597' | fill=00000000 | rows=[42] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H43 | value='8.213213' | fill=00000000 | rows=[42] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I43 | value='23.3337' | fill=00000000 | rows=[42] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J43 | value='21.70727' | fill=00000000 | rows=[42] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K43 | value='65.55597' | fill=00000000 | rows=[42] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L43 | value='8.213213' | fill=00000000 | rows=[42] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M43 | value='44.22834' | fill=00000000 | rows=[42] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N43 | value='63.9929' | fill=00000000 | rows=[42] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O43 | value='136.1837' | fill=00000000 | rows=[42] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P43 | value='3.517613' | fill=00000000 | rows=[42] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q43 | value='18.31432' | fill=00000000 | rows=[42] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R43 | value='33.80674' | fill=00000000 | rows=[42] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S43 | value='-3.118267' | fill=00000000 | rows=[42] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T43 | value='39.5847' | fill=00000000 | rows=[42] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U43 | value='-13.80174' | fill=00000000 | rows=[42] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V43 | value='10.95232' | fill=00000000 | rows=[42] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W43 | value='-29.4675' | fill=00000000 | rows=[42] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X43 | value='-13.12156' | fill=00000000 | rows=[42] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y43 | value='-41.19385' | fill=00000000 | rows=[42] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z43 | value='-0.728044' | fill=00000000 | rows=[42] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA43 | value='94.36274' | fill=00000000 | rows=[42] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB43 | value='21.30961' | fill=00000000 | rows=[42] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC43 | value='31.55806' | fill=00000000 | rows=[42] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD43 | value='-0.815111' | fill=00000000 | rows=[42] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE43 | value='67.06286' | fill=00000000 | rows=[42] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF43 | value='-11.62191' | fill=00000000 | rows=[42] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG43 | value='27.55092' | fill=00000000 | rows=[42] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH43 | value='-5.256262' | fill=00000000 | rows=[42] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI43 | value='18.67892' | fill=00000000 | rows=[42] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ43 | value='0.245946' | fill=00000000 | rows=[42] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK43 | value='-8.086737' | fill=00000000 | rows=[42] | cols=[36] | col_header=False | row_header=False | metadata=False
